activateable,associateEntityType,associateParentEntity,createable,custom,customSetting,deepCloneable,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isInterface,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
False,History,New_Course__c,False,False,False,False,False,False,False,False,False,False,,History: New Course,History: New Course,False,False,False,New_Course__History,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/New_Course__History/{ID}'), ('describe', '/services/data/v52.0/sobjects/New_Course__History/describe'), ('sobject', '/services/data/v52.0/sobjects/New_Course__History')])"
False,Share,New_Course__c,True,False,False,False,True,False,False,False,False,False,,Share: New Course,Share: New Course,False,False,False,New_Course__Share,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/New_Course__Share/{ID}'), ('describe', '/services/data/v52.0/sobjects/New_Course__Share/describe'), ('sobject', '/services/data/v52.0/sobjects/New_Course__Share')])"
False,,,True,True,False,False,True,False,False,False,False,False,a00,New Course,New Courses,True,False,False,New_Course__c,True,True,True,False,True,True,True,"OrderedDict([('compactLayouts', '/services/data/v52.0/sobjects/New_Course__c/describe/compactLayouts'), ('rowTemplate', '/services/data/v52.0/sobjects/New_Course__c/{ID}'), ('approvalLayouts', '/services/data/v52.0/sobjects/New_Course__c/describe/approvalLayouts'), ('describe', '/services/data/v52.0/sobjects/New_Course__c/describe'), ('quickActions', '/services/data/v52.0/sobjects/New_Course__c/quickActions'), ('layouts', '/services/data/v52.0/sobjects/New_Course__c/describe/layouts'), ('sobject', '/services/data/v52.0/sobjects/New_Course__c')])"
False,,,True,False,False,False,True,False,False,False,False,False,002,Note,Notes,True,False,False,Note,True,True,True,True,True,True,True,"OrderedDict([('compactLayouts', '/services/data/v52.0/sobjects/Note/describe/compactLayouts'), ('rowTemplate', '/services/data/v52.0/sobjects/Note/{ID}'), ('describe', '/services/data/v52.0/sobjects/Note/describe'), ('layouts', '/services/data/v52.0/sobjects/Note/describe/layouts'), ('sobject', '/services/data/v52.0/sobjects/Note')])"
False,,,False,False,False,False,False,False,False,False,False,False,,Note and Attachment,Notes and Attachments,False,False,False,NoteAndAttachment,False,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/NoteAndAttachment/{ID}'), ('describe', '/services/data/v52.0/sobjects/NoteAndAttachment/describe'), ('sobject', '/services/data/v52.0/sobjects/NoteAndAttachment')])"
False,,,True,False,False,False,True,False,False,False,False,False,7ud,OAuth Custom Scope,OAuth Custom Scopes,False,False,False,OauthCustomScope,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/OauthCustomScope/{ID}'), ('describe', '/services/data/v52.0/sobjects/OauthCustomScope/describe'), ('sobject', '/services/data/v52.0/sobjects/OauthCustomScope')])"
False,,,True,False,False,False,True,False,False,False,False,False,7ue,OAuth Custom Scope App ,OAuth Custom Scope Apps,False,False,False,OauthCustomScopeApp,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/OauthCustomScopeApp/{ID}'), ('describe', '/services/data/v52.0/sobjects/OauthCustomScopeApp/describe'), ('sobject', '/services/data/v52.0/sobjects/OauthCustomScopeApp')])"
False,,,False,False,False,False,False,False,False,False,False,False,0CQ,Oauth Token,Oauth Tokens,False,False,False,OauthToken,True,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/OauthToken/{ID}'), ('describe', '/services/data/v52.0/sobjects/OauthToken/describe'), ('sobject', '/services/data/v52.0/sobjects/OauthToken')])"
False,,,True,False,False,False,True,False,False,False,False,False,110,Object Permissions,Object Permissions,False,False,False,ObjectPermissions,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/ObjectPermissions/{ID}'), ('describe', '/services/data/v52.0/sobjects/ObjectPermissions/describe'), ('sobject', '/services/data/v52.0/sobjects/ObjectPermissions')])"
False,,,True,False,False,False,True,False,False,False,False,False,0UG,Onboarding Metrics,Onboarding Metrics,False,False,False,OnboardingMetrics,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/OnboardingMetrics/{ID}'), ('describe', '/services/data/v52.0/sobjects/OnboardingMetrics/describe'), ('sobject', '/services/data/v52.0/sobjects/OnboardingMetrics')])"
False,,,False,False,False,False,False,False,False,False,False,False,,Open Activity,Open Activities,False,False,False,OpenActivity,False,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/OpenActivity/{ID}'), ('describe', '/services/data/v52.0/sobjects/OpenActivity/describe'), ('sobject', '/services/data/v52.0/sobjects/OpenActivity')])"
False,,,True,False,False,False,True,False,False,False,False,False,0OH,Operating Hours,Operating Hours,True,False,True,OperatingHours,True,True,True,True,True,True,True,"OrderedDict([('compactLayouts', '/services/data/v52.0/sobjects/OperatingHours/describe/compactLayouts'), ('rowTemplate', '/services/data/v52.0/sobjects/OperatingHours/{ID}'), ('describe', '/services/data/v52.0/sobjects/OperatingHours/describe'), ('quickActions', '/services/data/v52.0/sobjects/OperatingHours/quickActions'), ('layouts', '/services/data/v52.0/sobjects/OperatingHours/describe/layouts'), ('sobject', '/services/data/v52.0/sobjects/OperatingHours')])"
False,Feed,OperatingHours,False,False,False,False,True,False,False,False,False,False,,Operating Hours Feed,Operating Hours Feed,False,False,False,OperatingHoursFeed,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/OperatingHoursFeed/{ID}'), ('describe', '/services/data/v52.0/sobjects/OperatingHoursFeed/describe'), ('sobject', '/services/data/v52.0/sobjects/OperatingHoursFeed')])"
False,,,True,False,False,False,True,False,False,False,False,False,0jG,Operating Hours Holiday,Operating Hours Holidays,True,False,True,OperatingHoursHoliday,True,True,True,True,True,False,True,"OrderedDict([('compactLayouts', '/services/data/v52.0/sobjects/OperatingHoursHoliday/describe/compactLayouts'), ('rowTemplate', '/services/data/v52.0/sobjects/OperatingHoursHoliday/{ID}'), ('describe', '/services/data/v52.0/sobjects/OperatingHoursHoliday/describe'), ('layouts', '/services/data/v52.0/sobjects/OperatingHoursHoliday/describe/layouts'), ('sobject', '/services/data/v52.0/sobjects/OperatingHoursHoliday')])"
False,Feed,OperatingHoursHoliday,False,False,False,False,True,False,False,False,False,False,,Operating Hours Holiday Feed,Operating Hours Holiday Feed,False,False,False,OperatingHoursHolidayFeed,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/OperatingHoursHolidayFeed/{ID}'), ('describe', '/services/data/v52.0/sobjects/OperatingHoursHolidayFeed/describe'), ('sobject', '/services/data/v52.0/sobjects/OperatingHoursHolidayFeed')])"
False,,,True,False,False,True,True,False,True,False,False,False,006,Opportunity,Opportunities,True,False,True,Opportunity,True,True,True,True,True,True,True,"OrderedDict([('compactLayouts', '/services/data/v52.0/sobjects/Opportunity/describe/compactLayouts'), ('rowTemplate', '/services/data/v52.0/sobjects/Opportunity/{ID}'), ('approvalLayouts', '/services/data/v52.0/sobjects/Opportunity/describe/approvalLayouts'), ('listviews', '/services/data/v52.0/sobjects/Opportunity/listviews'), ('describe', '/services/data/v52.0/sobjects/Opportunity/describe'), ('quickActions', '/services/data/v52.0/sobjects/Opportunity/quickActions'), ('layouts', '/services/data/v52.0/sobjects/Opportunity/describe/layouts'), ('sobject', '/services/data/v52.0/sobjects/Opportunity')])"
False,ChangeEvent,Opportunity,False,False,False,False,False,False,False,False,False,False,,Opportunity Change Event,Opportunity Change Event,False,False,False,OpportunityChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/OpportunityChangeEvent/{ID}'), ('eventSchema', '/services/data/v52.0/sobjects/OpportunityChangeEvent/eventSchema'), ('describe', '/services/data/v52.0/sobjects/OpportunityChangeEvent/describe'), ('sobject', '/services/data/v52.0/sobjects/OpportunityChangeEvent')])"
False,,,True,False,False,False,True,False,False,False,False,False,00J,Opportunity: Competitor,Opportunity: Competitor,False,False,False,OpportunityCompetitor,True,True,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/OpportunityCompetitor/{ID}'), ('describe', '/services/data/v52.0/sobjects/OpportunityCompetitor/describe'), ('sobject', '/services/data/v52.0/sobjects/OpportunityCompetitor')])"
False,,,True,False,False,False,True,False,False,False,False,False,00K,Opportunity Contact Role,Opportunity Contact Role,True,False,False,OpportunityContactRole,True,True,True,False,True,False,True,"OrderedDict([('compactLayouts', '/services/data/v52.0/sobjects/OpportunityContactRole/describe/compactLayouts'), ('rowTemplate', '/services/data/v52.0/sobjects/OpportunityContactRole/{ID}'), ('describe', '/services/data/v52.0/sobjects/OpportunityContactRole/describe'), ('quickActions', '/services/data/v52.0/sobjects/OpportunityContactRole/quickActions'), ('layouts', '/services/data/v52.0/sobjects/OpportunityContactRole/describe/layouts'), ('sobject', '/services/data/v52.0/sobjects/OpportunityContactRole')])"
False,ChangeEvent,OpportunityContactRole,False,False,False,False,False,False,False,False,False,False,,Opportunity Contact Role Change Event,Opportunity Contact Role Change Event,False,False,False,OpportunityContactRoleChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/OpportunityContactRoleChangeEvent/{ID}'), ('eventSchema', '/services/data/v52.0/sobjects/OpportunityContactRoleChangeEvent/eventSchema'), ('describe', '/services/data/v52.0/sobjects/OpportunityContactRoleChangeEvent/describe'), ('sobject', '/services/data/v52.0/sobjects/OpportunityContactRoleChangeEvent')])"
False,Feed,Opportunity,False,False,False,False,True,False,False,False,False,False,,Opportunity Feed,Opportunity Feed,False,False,False,OpportunityFeed,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/OpportunityFeed/{ID}'), ('describe', '/services/data/v52.0/sobjects/OpportunityFeed/describe'), ('sobject', '/services/data/v52.0/sobjects/OpportunityFeed')])"
False,History,Opportunity,False,False,False,False,False,False,False,False,False,False,,Opportunity Field History,Opportunity Field History,False,False,False,OpportunityFieldHistory,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/OpportunityFieldHistory/{ID}'), ('describe', '/services/data/v52.0/sobjects/OpportunityFieldHistory/describe'), ('sobject', '/services/data/v52.0/sobjects/OpportunityFieldHistory')])"
False,,,False,False,False,False,False,False,False,False,False,False,008,Opportunity History,Opportunity History,False,False,False,OpportunityHistory,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/OpportunityHistory/{ID}'), ('describe', '/services/data/v52.0/sobjects/OpportunityHistory/describe'), ('sobject', '/services/data/v52.0/sobjects/OpportunityHistory')])"
False,,,True,False,False,False,True,False,False,False,False,False,00k,Opportunity Product,Opportunity Product,True,False,True,OpportunityLineItem,True,True,True,False,True,False,True,"OrderedDict([('compactLayouts', '/services/data/v52.0/sobjects/OpportunityLineItem/describe/compactLayouts'), ('rowTemplate', '/services/data/v52.0/sobjects/OpportunityLineItem/{ID}'), ('describe', '/services/data/v52.0/sobjects/OpportunityLineItem/describe'), ('layouts', '/services/data/v52.0/sobjects/OpportunityLineItem/describe/layouts'), ('sobject', '/services/data/v52.0/sobjects/OpportunityLineItem')])"
